,vehicle_number,crew_type_ID,crew_type,shift_code,crew_num,start_depot,end_depot,start_time,end_time,number_of_jobs,tour,distance_travelled,total_time,total_travel_time,total_job_time
0,1,50d7a701-2456-405e-b3e4-367df26713ea,BroadStateHaz,Day S_01,1,BroadSS_01,Mt. B_01,07:30:00,15:00:00,10,"[0, 44, 36, 40, 39, 17, 22, 24, 23, 19, 7]",429.1,448.47119999999995,418.47119999999995,30
1,2,9e080037-7ada-4083-9fe7-dc7874404fde,WodoStateHaz,Day S_01,1,Wodon_01,Mothe_01,07:30:00,15:00:00,3,"[0, 38, 37, 35]",305.84000000000003,391.3528,343.3528,48
2,3,4a00fc27-3bf1-42b8-8c78-22b39a03232b,WangStateHaz,Day S_01,1,Wanga_01,Mt. H_01,07:30:00,15:00:00,3,"[0, 21, 9, 6]",196.39000000000001,257.9163,224.9163,33
3,4,816cc0a9-ed8f-4f85-baad-02ae45517125,MansStateHaz,Day S_01,1,Mansf_01,Shepp_01,07:30:00,15:00:00,14,"[0, 16, 34, 28, 14, 12, 15, 10, 11, 13, 18, 27, 26, 25, 29]",313.4,394.30809999999997,313.30809999999997,81
4,5,b755657d-8c9d-4146-9165-93eed3320b9c,ShepStateHaz,Day S_01,1,Shepp_01,Glen _01,07:30:00,15:00:00,4,"[0, 4, 3, 2, 1]",342.71999999999997,442.93019999999996,394.93019999999996,48
5,6,b755657d-8c9d-4146-9165-93eed3320b9c,ShepStateHaz,Day S_01,2,Shepp_01,Glen _01,07:30:00,15:00:00,9,"[0, 30, 32, 33, 41, 42, 31, 8, 5, 20]",393.38,427.5902,397.5902,30
